"","processo","digital","situacao","cd_processo","v1","area","assunto","classe","distribuicao","orgao_julgador","origem","outros_numeros","processo_principal","recurso","relator","revisor","secao","ultima_carga","valor_da_acao","volume_apenso"
"508","01236896320098260100",FALSE,"Encerrado","RI003HE390000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 7ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 23ª Vara Cível","
                            
                            
                                    583.00.2009.123.689-7
                            
                        ",NA,NA,"JOSÉ RUBENS QUEIROZ GOMES",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 7ª Câmara de Direito Privado.Remessa: 22/02/2017
                            Destino: Foro / Foro Central Cível.Recebimento: 22/02/2017 
                        ","10.538,66","2 / 1"
"509","01236896320098260100",TRUE,"Encerrado","RI0077GNE0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 7ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 23ª Vara Cível","
                            
                                
                                        583.00.2009.123689
                                
                                
                                    583.00.2009.123689
                            
                        ",NA,NA,"JOSÉ RUBENS QUEIROZ GOMES",NA," Direito Privado 1
",NA,"10.538,66","3 / 0"
"510","01246916820098260003",FALSE,"Encerrado","RI00488X80000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 4ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Regional de Jabaquara / 5ª Vara Cível","
                            
                            
                                    2635/2009
                            
                        ",NA,NA,"NATAN ZELINSCHI DE ARRUDA",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 4ª Câmara de Direito Privado.Remessa: 13/12/2022
                            Destino: Foro / Fórum Regional de Jabaquara.Recebimento: 13/12/2022 
                        ","46.500,00","3 / 0"
"511","01264763120108260100",FALSE,"Encerrado","RI004KFLX0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 7ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 1ª Vara Cível","
                            
                            
                                    604/2010
                            
                        ",NA,NA,"LUIS MARIO GALBETTI",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 7ª Câmara de Direito Privado.Remessa: 22/10/2018
                            Destino: Foro / Foro Central Cível.Recebimento: 22/10/2018 
                        ","540.968,00","4 / 0"
"512","01264763120108260100",TRUE,"Julgado","RI006OW6C0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 7ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 1ª Vara Cível","
                            
                                
                                        583.00.2010.126476
                                
                                
                                    583.00.2010.126476
                            
                        ",NA,NA,"LUIS MARIO GALBETTI",NA," Direito Privado 1
",NA,"540.968,00","1 / 0"
"513","01268938120108260100",FALSE,"Encerrado","RI005CE0U0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 7ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 38ª Vara Cível","
                            
                            
                                    578/2010, 583.00.2010.126893
                            
                        ",NA,NA,"MIGUEL BRANDI",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 7ª Câmara de Direito Privado.Remessa: 11/09/2020
                            Destino: Foro / Foro Central Cível.Recebimento: 11/09/2020 
                        ","300.000,00","3 / 0"
"514","01286426520128260100",FALSE,"Encerrado","RI0024F1A0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 9ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 5ª Vara Cível","
                            
                            
                                    603/2012
                            
                        ",NA,NA,"MAURO CONTI MACHADO","ALEXANDRE LAZZARINI"," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 9ª Câmara de Direito Privado.Remessa: 29/02/2016
                            Destino: Foro / Foro Central Cível.Recebimento: 29/02/2016 
                        ","24.880,00","1 / 0"
"515","01286426520128260100",TRUE,"Encerrado","RI007620K0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 9ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 5ª Vara Cível","
                            
                                
                                        583.00.2012.128642
                                
                                
                                    583.00.2012.128642
                            
                        ",NA,NA,"EDSON LUIZ DE QUEIROZ",NA," Direito Privado 1
",NA,"24.880,00","2 / 0"
"516","01302820620128260100",FALSE,"Julgado Transitado","RI005NCQG0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 1ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 30ª Vara Cível","
                            
                            
                                    1001093-55.2012.8.26.0100, 634/2012, 583.00.2012.130282
                            
                        ",NA,NA,"CHRISTINE SANTINI",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / SJ 3.1.1.1 - Serv. de Proces. da 1ª Câmara de Dir. Privado.Remessa: 24/09/2021
                            Destino: Foro / Foro Central Cível.Recebimento: 24/09/2021 
                        ","931.790,00","4 / 0"
"517","01319482320048260100",FALSE,"Julgado","RI006A74G0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 3ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 34ª Vara Cível","
                            
                            
                                    1012862-41.2004.8.26.0100, 2134/2004, 00004131948-/6
                            
                        ",NA,NA,"VIVIANI NICOLAU",NA," Direito Privado 1
","
                            Origem: Gabinete do Desembargador / Viviani Nicolau.Remessa: 16/12/2022
                            Destino: Serviço de Processamento de Grupos/Câmaras / 3ª Câmara de Direito Privado.Recebimento: 11/01/2023 
                        ","57.792,50","3 / 0"
"518","01321955720118260100",FALSE,"Encerrado","RI0068AK30000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 9ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 37ª Vara Cível","
                            
                            
                                    658/2011
                            
                        ",NA,NA,"EDSON LUIZ DE QUEIROZ",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 9ª Câmara de Direito Privado.Remessa: 27/08/2021
                            Destino: Foro / Foro Central Cível.Recebimento: 27/08/2021 
                        ","200.000,00","3 / 0"
"519","01386677420118260100",FALSE,"Encerrado","RI004LOSL0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 10ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 37ª Vara Cível","
                            
                            
                                    779/2011
                            
                        ",NA,NA,"JOÃO CARLOS SALETTI",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 10ª Câmara de Direito Privado.Remessa: 19/08/2021
                            Destino: Foro / Foro Central Cível.Recebimento: 19/08/2021 
                        ","5.450,00","5 / 0"
"520","01390652120118260100",FALSE,"Julgado","RI005FSR80000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 6ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 38ª Vara Cível","
                            
                            
                                    762/2011
                            
                        ",NA,NA,"ANA MARIA BALDY",NA," Direito Privado 1
","
                            Origem: Posto de Digitalização / Páteo do Colégio.Remessa: 28/03/2023
                            Destino: Serviço de Processamento de Recursos / SJ 3.1.7 - Serv. de Proces. Rec. aos Trib. Sup. Dir. Privado 1.Recebimento: 28/03/2023 
                        ","370.000,00","4 / 0"
"521","01393147420088260100",FALSE,"Julgado Transitado","RI005RJZX0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 2ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 29ª Vara Cível","
                            
                            
                                    0000214-94.2014.8.26.0100, 0000214-94.2014.8.26.0100, 583.00.2008.139314
                            
                        ",NA,NA,"JOSÉ CARLOS FERREIRA ALVES",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 2ª Câmara de Direito Privado.Remessa: 11/11/2020
                            Destino: Foro / Foro Central Cível.Recebimento: 11/11/2020 
                        ","50.000,00","3 / 1"
"522","01409819020118260100",FALSE,"Encerrado","RI0059Z2I0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 4ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 11ª Vara Cível","
                            
                            
                                    757/2011
                            
                        ",NA,NA,"MAURÍCIO CAMPOS DA SILVA VELHO",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 4ª Câmara de Direito Privado.Remessa: 02/05/2022
                            Destino: Foro / Foro Central Cível.Recebimento: 02/05/2022 
                        ","128.000,00","4 / 0"
"523","01418558320088260002",FALSE,NA,"RI005P9TZ0000","
                        
                            
                        
                    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"524","01418558320088260002",FALSE,NA,"RI005P9TZ0000"," 
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"525","01475325220128260100",FALSE,"Encerrado","RI002HT6S0000",NA,"Cível","DIREITO DO CONSUMIDOR - Contratos de Consumo - Planos de Saúde"," Apelação Cível
",NA," 5ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 11ª Vara Cível",NA,NA,NA,"FÁBIO PODESTÁ","A.C.MATHIAS COLTRO"," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 5ª Câmara de Direito Privado.Remessa: 11/05/2015
                            Destino: Foro / Foro Central Cível.Recebimento: 11/05/2015 
                        ",NA,"1 / 0"
"526","01475325220128260100",TRUE,"Julgado","RI0074WJK0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 5ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 11ª Vara Cível","
                            
                                
                                        583.00.2012.147532
                                
                                
                                    583.00.2012.147532
                            
                        ",NA,NA,"JAMES SIANO",NA," Direito Privado 1
",NA,"1.280.000,00","3 / 0"
"527","01484315020128260100",FALSE,"Encerrado","RI006F12K0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 5ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 11ª Vara Cível","
                            
                            
                                    1001/2012
                            
                        ",NA,NA,"FERNANDA GOMES CAMACHO",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 5ª Câmara de Direito Privado.Remessa: 24/09/2021
                            Destino: Foro / Foro Central Cível.Recebimento: 24/09/2021 
                        ","4.529.890,00","3 / 1"
"528","01541236920088260100",FALSE,"Encerrado","RI002BS3V0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 10ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 18ª Vara Cível","
                            
                            
                                    1067/2008
                            
                        ",NA,NA,"RONNIE HERBERT BARROS SOARES",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 10ª Câmara de Direito Privado.Remessa: 04/08/2017
                            Destino: Foro / Foro Central Cível.Recebimento: 04/08/2017 
                        ","420.000,00","7 / 3"
"529","01541236920088260100",FALSE,"Julgado","RI005ZVLQ0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 10ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 18ª Vara Cível","
                            
                            
                                    1067/2008
                            
                        ",NA,NA,"ELCIO TRUJILLO",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 10ª Câmara de Direito Privado.Remessa: 05/04/2023
                            Destino: Gabinete do Desembargador / Elcio Trujillo.Recebimento:  
                        ","420.000,00","12 / 3"
"530","01544963720078260100",FALSE,"Julgado","RI005CHBT0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 9ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 27ª Vara Cível","
                            
                            
                                    0033308-96.2015.8.26.0100, 1010120-38.2007.8.26.0100, 1015561-97.2007.8.26.0100, 1006685-56.2007.8.26.0100, 1012527-17.2007.8.26.0100, 1015345-39.2007.8.26.0100, 1012358-30.2007.8.26.0100, 1013991-76.2007.8.26.0100, 816/2007, 583.00.2007.154496
                            
                        ",NA,NA,"PIVA RODRIGUES",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 9ª Câmara de Direito Privado.Remessa: 25/05/2021
                            Destino: Foro / Foro Central Cível.Recebimento: 25/05/2021 
                        ","1.112.064,00","8 / 7"
"531","01580418120088260100",FALSE,"Julgado","RI003UW640000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 8ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 11ª Vara Cível","
                            
                            
                                    982/2008
                            
                        ",NA,NA,"MÔNICA DE CARVALHO",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Recursos / SJ 3.1.7 - Serv. de Proces. Rec. aos Trib. Sup. Dir. Privado 1.Remessa: 25/03/2022
                            Destino: Foro / Foro Central Cível.Recebimento: 25/03/2022 
                        ","41.500,00","2 / 0"
"532","01605841820128260100",FALSE,"Encerrado","RI001KBX50000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 9ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 18ª Vara Cível","
                            
                            
                                    5555/2012/000001
                            
                        ",NA,NA,"GALDINO TOLEDO JÚNIOR","LUCILA TOLEDO"," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 9ª Câmara de Direito Privado.Remessa: 19/04/2013
                            Destino: Foro / Foro Central Cível.Recebimento: 19/04/2013 
                        ",NA,"1 / 0"
"533","01605841820128260100",FALSE,NA,"RI005LICL0000","
                        
                            
                        
                    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"534","01605841820128260100",FALSE,NA,"RI005LICL0000"," 
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"535","01621735820068260002",FALSE,"Encerrado","RI000T11D0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 6ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Regional de Santo Amaro / 5ª Vara Cível","
                            
                            
                                    2755/2006
                            
                        ",NA,NA,"COSTABILE E SOLIMENE","PERCIVAL NOGUEIRA"," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 6ª Câmara de Direito Privado.Remessa: 16/08/2011
                            Destino: Foro / Fórum Regional de Santo Amaro.Recebimento: 16/08/2011 
                        ","175.000,00","3 / 2"
"536","01621735820068260002",FALSE,"Julgado","RI004WJP30000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 6ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Regional de Santo Amaro / 5ª Vara Cível","
                            
                            
                                    2755/2006
                            
                        ",NA,NA,"ANA MARIA BALDY",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Recursos / SJ 3.1.7 - Serv. de Proces. Rec. aos Trib. Sup. Dir. Privado 1.Remessa: 13/03/2023
                            Destino: Posto de Digitalização / Páteo do Colégio.Recebimento: 13/03/2023 
                        ","175.000,00","5 / 0"
"537","01680607820108260100",FALSE,"Encerrado","RI000WYDB0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Material-Erro Médico"," Apelação Cível
",NA," 5ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 7ª Vara Cível","
                            
                            
                                    1449/2010
                            
                        ",NA,NA,"MOREIRA VIEGAS","CHRISTINE SANTINI"," Direito Privado 1
","
                            Origem: Serviço de Processamento de Recursos / SJ 3.1.7 - Serv. de Proces. Rec. aos Trib. Sup. Dir. Privado 1.Remessa: 31/07/2014
                            Destino: Foro / Foro Central Cível.Recebimento: 31/07/2014 
                        ","50.000,00","2 / 0"
"538","01680607820108260100",TRUE,"Julgado","RI006QJ240000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 5ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 7ª Vara Cível","
                            
                                
                                        583.00.2010.168060
                                
                                
                                    583.00.2010.168060
                            
                        ",NA,NA,"MOREIRA VIEGAS",NA," Direito Privado 1
",NA,"50.000,00","5 / 0"
"539","01717808720098260100",FALSE,"Encerrado","RI001P2IY0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 9ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 8ª Vara Cível","
                            
                            
                                    1656/2009
                            
                        ",NA,NA,"MAURO CONTI MACHADO","ALEXANDRE LAZZARINI"," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 9ª Câmara de Direito Privado.Remessa: 11/01/2016
                            Destino: Foro / Foro Central Cível.Recebimento: 11/01/2016 
                        ","418.500,00","3 / 1"
"540","01717808720098260100",FALSE,"Julgado","RI00543Y60000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 9ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 8ª Vara Cível","
                            
                            
                                    1656/2009, 583.00.2009.171780-8/000000-000
                            
                        ",NA,NA,"EDSON LUIZ DE QUEIROZ",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 9ª Câmara de Direito Privado.Remessa: 17/03/2023
                            Destino: Serviço de Processamento de Recursos / SJ 3.1.7 - Serv. de Proces. Rec. aos Trib. Sup. Dir. Privado 1.Recebimento: 05/04/2023 
                        ","418.500,00","4 / 1"
"541","01814652120098260100",FALSE,NA,"RI006KBZA0000","
                        
                            
                        
                    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"542","01814652120098260100",FALSE,NA,"RI006KBZA0000"," 
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"543","01817215620128260100",FALSE,"Julgado","RI0065WHM0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 3ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 11ª Vara Cível","
                            
                            
                                    1640/2012
                            
                        ",NA,NA,"BERETTA DA SILVEIRA",NA," Direito Privado 1
","
                            Origem: Coordenadoria de Gab. Presidência da Seção Direito Privado / GAP - DP1 - Coordenadoria de Assistência Técnica de Gabinete da Presidência da Seção de Direito Privado 1.Remessa: 05/04/2023
                            Destino: Serviço de Processamento de Recursos / SJ 3.1.7 - Serv. de Proces. Rec. aos Trib. Sup. Dir. Privado 1.Recebimento:  
                        ","1.000,00","4 / 0"
"544","01837083520098260100",FALSE,"Encerrado","RI005310D0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 5ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 16ª Vara Cível","
                            
                            
                                    1771/2009, 583.00.2009.183708
                            
                        ",NA,NA,"J.L. MÔNACO DA SILVA",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 5ª Câmara de Direito Privado.Remessa: 15/06/2021
                            Destino: Foro / Foro Central Cível.Recebimento: 15/06/2021 
                        ","10.000,00","4 / 0"
"545","01847796720128260100",FALSE,"Encerrado","RI0041DUE0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 8ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 17ª Vara Cível","
                            
                            
                                    1765/2012, 583.00.2012.184779-6/000000-000
                            
                        ",NA,NA,"BENEDITO ANTONIO OKUNO",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / SJ 3.1.4.2 - Serv. de Proces. da 8ª Câmara de Dir. Privado.Remessa: 10/09/2020
                            Destino: Foro / Foro Central Cível.Recebimento: 10/09/2020 
                        ","106.800,46","2 / 0"
"546","01854777320128260100",FALSE,"Encerrado","RI005PK310000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 2ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 22ª Vara Cível","
                            
                            
                                    1754/2012
                            
                        ",NA,NA,"ALVARO PASSOS",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 2ª Câmara de Direito Privado.Remessa: 29/09/2020
                            Destino: Foro / Foro Central Cível.Recebimento: 29/09/2020 
                        ","406.024,00","7 / 0"
"547","01931618820088260100",FALSE,"Julgado Transitado","RI005KRE70000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 2ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 15ª Vara Cível","
                            
                            
                                    1581/2008
                            
                        ",NA,NA,"JOSÉ CARLOS FERREIRA ALVES",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 2ª Câmara de Direito Privado.Remessa: 28/10/2020
                            Destino: Foro / Foro Central Cível.Recebimento: 28/10/2020 
                        ","100.000,00","4 / 1"
"548","01951161820128260100",FALSE,"Encerrado","RI005NQFX0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 6ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 41ª Vara Cível","
                            
                            
                                    1887/2012, 583.00.2012.195116-0/000000-000
                            
                        ",NA,NA,"MARCUS VINICIUS RIOS GONÇALVES",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Recursos / SJ 3.1.7 - Serv. de Proces. Rec. aos Trib. Sup. Dir. Privado 1.Remessa: 21/03/2023
                            Destino: Foro / Foro Central Cível.Recebimento: 21/03/2023 
                        ","100.000,00","3 / 0"
"549","01974734420078260100",FALSE,"Encerrado","RI005FTHL0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 2ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 10ª Vara Cível","
                            
                            
                                    1551/2007
                            
                        ",NA,NA,"ALVARO PASSOS",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Recursos / SJ 3.1.7 - Serv. de Proces. Rec. aos Trib. Sup. Dir. Privado 1.Remessa: 24/08/2021
                            Destino: Foro / Foro Central Cível.Recebimento: 24/08/2021 
                        ","190.000,00","6 / 0"
"550","01976171820078260100",FALSE,"Encerrado","RI005OEBL0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 9ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 29ª Vara Cível","
                            
                            
                                    1614/2007
                            
                        ",NA,NA,"EDSON LUIZ DE QUEIROZ",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 9ª Câmara de Direito Privado.Remessa: 16/06/2021
                            Destino: Foro / Foro Central Cível.Recebimento: 16/06/2021 
                        ","700.000,00","25 / 2"
"551","01981838820128260100",FALSE,"Encerrado","RI0027KAS0000",NA,"Cível","DIREITO DO CONSUMIDOR - Contratos de Consumo - Planos de Saúde"," Apelação Cível
",NA," 3ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 30ª Vara Cível","
                            
                            
                                    2087/2012
                            
                        ",NA,NA,"BERETTA DA SILVEIRA","EGIDIO GIACOIA"," Direito Privado 1
","
                            Origem: Serviço de Processamento de Recursos / SJ 3.1.7 - Serv. de Proces. Rec. aos Trib. Sup. Dir. Privado 1.Remessa: 16/02/2016
                            Destino: Foro / Foro Central Cível.Recebimento: 16/02/2016 
                        ","77.128,00","1 / 0"
"552","01981838820128260100",FALSE,"Encerrado","RI006IQ0N0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 3ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 30ª Vara Cível","
                            
                            
                                    2087/2012
                            
                        ",NA,NA,"BERETTA DA SILVEIRA",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 3ª Câmara de Direito Privado.Remessa: 19/01/2022
                            Destino: Foro / Foro Central Cível.Recebimento: 19/01/2022 
                        ","77.128,00","2 / 0"
"553","02028170620078260100",FALSE,NA,"RI003KJIW0000","
                        
                            
                        
                    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"554","02028170620078260100",FALSE,NA,"RI003KJIW0000"," 
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"555","02031265120128260100",FALSE,"Encerrado","RI002T8EP0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 6ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 35ª Vara Cível","
                            
                            
                                    2035/2012
                            
                        ",NA,NA,"VITO GUGLIELMI","PERCIVAL NOGUEIRA"," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 6ª Câmara de Direito Privado.Remessa: 11/09/2015
                            Destino: Foro / Foro Central Cível.Recebimento: 11/09/2015 
                        ","62.200,00","2 / 0"
"556","02031265120128260100",FALSE,"Encerrado","RI006MBLD0000",NA,"Cível","DIREITO CIVIL-Responsabilidade Civil-Indenização por Dano Moral-Erro Médico"," Apelação Cível
",NA," 6ª Câmara de Direito Privado
","Comarca de São Paulo / Foro Central Cível / 35ª Vara Cível","
                            
                            
                                    2035/2012
                            
                        ",NA,NA,"VITO GUGLIELMI",NA," Direito Privado 1
","
                            Origem: Serviço de Processamento de Grupos/Câmaras / 6ª Câmara de Direito Privado.Remessa: 14/03/2022
                            Destino: Foro / Foro Central Cível.Recebimento: 14/03/2022 
                        ","62.200,00","3 / 0"
